08-10-2012 11:20:05

Radiation device: UTest
Energy: 6 MeV
Controller:	Unspecified
Measurement device:	Film
Field detector:	Film
Reference detector:	Undefined
SAD:	1000 mm
SSD:	1000 mm
Field size:	100 x 100 mm
Gantry angle: 3
Measurement medium: Unknown
Scan type:	Freescan
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
132.64	101.34	0.00	4.20	0.00	0.00	
132.63	101.51	0.00	4.24	0.00	0.00	
132.63	101.68	0.00	4.29	0.00	0.00	
132.63	101.85	0.00	4.33	0.00	0.00	
132.62	102.02	0.00	4.39	0.00	0.00	
132.62	102.19	0.00	4.46	0.00	0.00	
132.62	102.36	0.00	4.53	0.00	0.00	
132.61	102.53	0.00	4.59	0.00	0.00	
132.61	102.69	0.00	4.67	0.00	0.00	
132.60	102.86	0.00	4.74	0.00	0.00	
132.60	103.03	0.00	4.81	0.00	0.00	
132.60	103.20	0.00	4.88	0.00	0.00	
132.59	103.37	0.00	4.95	0.00	0.00	
132.59	103.54	0.00	5.02	0.00	0.00	
132.59	103.71	0.00	5.10	0.00	0.00	
132.58	103.88	0.00	5.19	0.00	0.00	
132.58	104.05	0.00	5.29	0.00	0.00	
132.58	104.22	0.00	5.39	0.00	0.00	
132.57	104.39	0.00	5.49	0.00	0.00	
132.57	104.56	0.00	5.59	0.00	0.00	
132.56	104.73	0.00	5.68	0.00	0.00	
132.56	104.90	0.00	5.77	0.00	0.00	
132.56	105.07	0.00	5.88	0.00	0.00	
132.55	105.24	0.00	6.00	0.00	0.00	
132.55	105.41	0.00	6.13	0.00	0.00	
132.55	105.58	0.00	6.27	0.00	0.00	
132.54	105.74	0.00	6.42	0.00	0.00	
132.54	105.91	0.00	6.57	0.00	0.00	
132.53	106.08	0.00	6.71	0.00	0.00	
132.53	106.25	0.00	6.87	0.00	0.00	
132.53	106.42	0.00	7.04	0.00	0.00	
132.52	106.59	0.00	7.20	0.00	0.00	
132.52	106.76	0.00	7.38	0.00	0.00	
132.52	106.93	0.00	7.58	0.00	0.00	
132.51	107.10	0.00	7.79	0.00	0.00	
132.51	107.27	0.00	8.00	0.00	0.00	
132.50	107.44	0.00	8.24	0.00	0.00	
132.50	107.61	0.00	8.48	0.00	0.00	
132.50	107.78	0.00	8.73	0.00	0.00	
132.49	107.95	0.00	9.00	0.00	0.00	
132.49	108.12	0.00	9.30	0.00	0.00	
132.49	108.29	0.00	9.62	0.00	0.00	
132.48	108.46	0.00	9.99	0.00	0.00	
132.48	108.63	0.00	10.38	0.00	0.00	
132.47	108.79	0.00	10.79	0.00	0.00	
132.47	108.96	0.00	11.22	0.00	0.00	
132.47	109.13	0.00	11.69	0.00	0.00	
132.46	109.30	0.00	12.16	0.00	0.00	
132.46	109.47	0.00	12.64	0.00	0.00	
132.46	109.64	0.00	13.16	0.00	0.00	
132.45	109.81	0.00	13.71	0.00	0.00	
132.45	109.98	0.00	14.36	0.00	0.00	
132.45	110.15	0.00	15.14	0.00	0.00	
132.44	110.32	0.00	15.87	0.00	0.00	
132.44	110.49	0.00	16.64	0.00	0.00	
132.43	110.66	0.00	17.35	0.00	0.00	
132.43	110.83	0.00	17.97	0.00	0.00	
132.43	111.00	0.00	18.91	0.00	0.00	
132.42	111.17	0.00	20.03	0.00	0.00	
132.42	111.34	0.00	21.23	0.00	0.00	
132.42	111.51	0.00	22.43	0.00	0.00	
132.41	111.68	0.00	23.75	0.00	0.00	
132.41	111.84	0.00	25.06	0.00	0.00	
132.40	112.01	0.00	26.31	0.00	0.00	
132.40	112.18	0.00	27.65	0.00	0.00	
132.40	112.35	0.00	29.15	0.00	0.00	
132.39	112.52	0.00	30.95	0.00	0.00	
132.39	112.69	0.00	32.55	0.00	0.00	
132.39	112.86	0.00	33.94	0.00	0.00	
132.38	113.03	0.00	35.79	0.00	0.00	
132.38	113.20	0.00	37.77	0.00	0.00	
132.37	113.37	0.00	39.50	0.00	0.00	
132.37	113.54	0.00	41.41	0.00	0.00	
132.37	113.71	0.00	43.28	0.00	0.00	
132.36	113.88	0.00	45.60	0.00	0.00	
132.36	114.05	0.00	47.88	0.00	0.00	
132.36	114.22	0.00	50.04	0.00	0.00	
132.35	114.39	0.00	52.29	0.00	0.00	
132.35	114.56	0.00	53.34	0.00	0.00	
132.35	114.73	0.00	54.74	0.00	0.00	
132.34	114.89	0.00	56.98	0.00	0.00	
132.34	115.06	0.00	58.63	0.00	0.00	
132.33	115.23	0.00	60.02	0.00	0.00	
132.33	115.40	0.00	61.16	0.00	0.00	
132.33	115.57	0.00	62.42	0.00	0.00	
132.32	115.74	0.00	63.43	0.00	0.00	
132.32	115.91	0.00	64.40	0.00	0.00	
132.32	116.08	0.00	66.07	0.00	0.00	
132.31	116.25	0.00	67.34	0.00	0.00	
132.31	116.42	0.00	67.97	0.00	0.00	
132.30	116.59	0.00	68.58	0.00	0.00	
132.30	116.76	0.00	69.32	0.00	0.00	
132.30	116.93	0.00	70.18	0.00	0.00	
132.29	117.10	0.00	71.00	0.00	0.00	
132.29	117.27	0.00	71.56	0.00	0.00	
132.29	117.44	0.00	72.07	0.00	0.00	
132.28	117.61	0.00	72.47	0.00	0.00	
132.28	117.78	0.00	72.67	0.00	0.00	
132.27	117.94	0.00	73.32	0.00	0.00	
132.27	118.11	0.00	73.50	0.00	0.00	
132.27	118.28	0.00	74.67	0.00	0.00	
132.26	118.45	0.00	75.37	0.00	0.00	
132.26	118.62	0.00	75.51	0.00	0.00	
132.26	118.79	0.00	75.81	0.00	0.00	
132.25	118.96	0.00	75.93	0.00	0.00	
132.25	119.13	0.00	76.02	0.00	0.00	
132.25	119.30	0.00	76.11	0.00	0.00	
132.24	119.47	0.00	76.25	0.00	0.00	
132.24	119.64	0.00	76.76	0.00	0.00	
132.23	119.81	0.00	77.34	0.00	0.00	
132.23	119.98	0.00	77.57	0.00	0.00	
132.23	120.15	0.00	77.57	0.00	0.00	
132.22	120.32	0.00	77.58	0.00	0.00	
132.22	120.49	0.00	77.54	0.00	0.00	
132.22	120.66	0.00	77.54	0.00	0.00	
132.21	120.83	0.00	77.44	0.00	0.00	
132.21	120.99	0.00	77.45	0.00	0.00	
132.20	121.16	0.00	77.66	0.00	0.00	
132.20	121.33	0.00	77.95	0.00	0.00	
132.20	121.50	0.00	78.23	0.00	0.00	
132.19	121.67	0.00	78.73	0.00	0.00	
132.19	121.84	0.00	78.75	0.00	0.00	
132.19	122.01	0.00	78.68	0.00	0.00	
132.18	122.18	0.00	78.68	0.00	0.00	
132.18	122.35	0.00	79.04	0.00	0.00	
132.17	122.52	0.00	79.29	0.00	0.00	
132.17	122.69	0.00	79.46	0.00	0.00	
132.17	122.86	0.00	79.52	0.00	0.00	
132.16	123.03	0.00	79.52	0.00	0.00	
132.16	123.20	0.00	79.28	0.00	0.00	
132.16	123.37	0.00	79.28	0.00	0.00	
132.15	123.54	0.00	79.30	0.00	0.00	
132.15	123.71	0.00	79.30	0.00	0.00	
132.15	123.88	0.00	79.29	0.00	0.00	
132.14	124.04	0.00	79.65	0.00	0.00	
132.14	124.21	0.00	79.94	0.00	0.00	
132.13	124.38	0.00	79.94	0.00	0.00	
132.13	124.55	0.00	80.04	0.00	0.00	
132.13	124.72	0.00	80.09	0.00	0.00	
132.12	124.89	0.00	80.09	0.00	0.00	
132.12	125.06	0.00	79.91	0.00	0.00	
132.12	125.23	0.00	79.92	0.00	0.00	
